0;*ГЛАВА ПЕРВАЯ. ЛЮБОВЬ, НЕНАВИСТЬ И ЕЩЁ КОЕ-ЧТО*
0;Через окошко экипажа тебе открывается вид на монастырь, по совместительству главный штаб Ордена. Его громоздкие стены, будто отлитые единым монолитом, вызывают в твоей душе благоговейное почтение перед его создателями. ;Ты слышишь, как хрипят лошади, вытаскивая карету через крутой склон - единственную дорогу к воротам монастыря. Стратегически успешное решение отстроить крепость на горе было не самым практичным, с точки зрения простого быта. ;На пути вашего экипажа тут и там встречаются поломники, пилигримы и просители. Кучер аккуратно ведёт лошадей, чтобы те не случайно не зацепили истощенных пешим походом гражданских. ;Наконец, экипаж останавливается перед главными воротами монастыря. Покинув пыльную кабинку кареты, ты в первую очередь принимаешься за лёгкую разминку. Нужно дать мышцам прийти в себя, прежде чем покорять длинные коридоры монастыря. ;За разминкой есть время пристально изучить могучие ворота. Хоть они и сделаны из дерева, но для большей прочности оббиты железом. Над воротами к верху поднята железная решётка. А в помещении над ними, в двух башнях, на тебя пристально смотрят несколько пар глаз дозорных. 
Поручик;Ну что, Мастер. Вот мы и на месте! Ну и махина, голова кругом идёт от высоты стен.
0;Ты безмолвно киваешь поручику.
Поручик;Я пойду вперёд, распоряжусь о том, что мы прибыли и нам нужна помощь с багажом.
0;Поручик берёт своего коня под уздцы и, насвистывая мелодию какой-то похабной песенки, направляется внутрь. Архивариус же принялся что-то срочно записывать в своём походном дневнике, поправляя постоянно сползающие на нос очки. ;Похоже, твой багаж находится в верных руках, ты направляешься внутрь. Внутренний двор монастыря вымащена камнем и, конечно, первым зданием, что видели посетители, был храм. Здесь совершались ежедневные молитвы, праздничные и траурные службы. ;Но что не мало важно, в случае нападения и разрушения ворот, храм превращался в неприступную крепость. Со своим несчётным количеством выбоин под стрелковые позиции лучников и железной массивной дверью, запирающуюся на железный засов весом в добрый центнер изнутри. ;Конюшня, по обыденности, расположена недалеко от ворот и своей протяжённостью убеждала в своей внушительной вместительности. Но тебя не волновало, смогут разместить здесь ваших лошадей или нет. ;Сейчас первоочередной задачой была встреча с заместителем Архимагистра. И, судя по чертежам крепости, которыми столь любезно снабдили тебя шпионы Монарха, командование Ордена распологалось в пятиэтажном здании, находящимся позади храма. ;Нагло вламываться к командиру не хотелось бы. Всё же, ты тут первый раз и пока не следует раскрывать твой уровень осведомлённости и знаний местной архитектуры. Оглядевшись вокруг, ты быстро приметил группу неофитов, направляющихся к главным воротам. ;Шесть новобранцев, одетых в смиренные серые мантии, сопровождает рыцарь Ордена. Она что-то говорит позади идущим неофитам, а те непринужденно улыбаются ей в ответ. Края её белоснежной мантии увенчаны золотыми нитями, что выдаёт в ней причастность к командующему составу.
1;Прошу прощения, благородный рыцарь. Я слуга Святой Церкви, прибывший к вам из столицы и спешу на встречу с заместителем Архимагистра. Не могли бы вы подсказать мне дорогу?;Я Инквизитор, прибыл по приказу короля. Где у вас здесь заседает командир Ордена.;Эй, рыцарь, где я могу найти твоего командира - заместителя Архимагистра?
0;Девушка складывает свои ладони перед грудью, в приветственном знаке для служителей Церкви. После чего велит своим спутницам подождать её у ворот. Неофиты проходят мимо тебя, украдкой кидая оценивающие взгляды. За спиной ты слышишь обрывки фраз, что шепчат эти ещё юные создания. ;"Посмотри на мантию…", "Такую в Инквизиции носят, точно вам говорю…" "Откуда тебе знать?" "Мы на уроках Церковной Иерархии проходили, дурочка. Если бы ты слушала, а не в облаках летала."
0;Рыцарь дождалась, пока новобранцы отдаляться на безопасное расстояние и улыбнулась тебе.
Умняка;Стало быть, вы - Инквизитор. Спасибо, что не представились перед неофитами. А то вместо тренировок сегодня бы получился очередной клуб сплетниц. Сами понимаете, девушки в этом возрасте ещё слишком ветрены и не серьёзны. И прошу меня простить, я не представилась. Умняка, Старший Воспитатель Ордена. 
0;Она протягивает тебе правую руку для рукопожатия, пока левой поправляет выпавший из под ободка белокурый локон.
Умняка;Очень хочется узнать как проходит командировка моей близкой подруги и по совместительству нашего Архимагистра. Но я спешу, к тому же, у нас будет ещё время для разговоров. А заместитель Архимагистра сейчас в своем кабинете. ;Вам нужно обойти Храм по левую сторону и сразу за ним вы и обнаружите Капитул. Поднимитесь на пятый третий этаж, в левой части увидите кабинет Архимагистра. Там как раз сейчас и работает заместитель.
1;Спасибо вам, Умняка. Хотелось бы поинтересоваться у вас, куда же вы всё-таки спешите.Благодарю вас, Умняка. Что ж, скорее поспешу к заместителю. А вам пожелаю прекрасного дня. Пусть Свет благословит вас и ваших учеников.;Благодарю вас, Умняка. Что ж, скорее поспешу к заместителю. А вам пожелаю прекрасного дня. Пусть Свет благословит вас и ваших учеников.;Понятно, что ж, я пошёл.
Умняка;О, сейчас у нас по плану верховая езда. Видите ли, внутри монастыря мы можем позволить себе расквартировать только рыцарских лошадей. Орден содержит огромный конный двор расположенный на северной границе города. Оттуда мы совершим небольшой бросок по большаку в лесах. А после обеда мои девочки будут раздавать довольство неимущим на центральном рынке города.
1;Прелестно! И на этом не смею вас больше задерживать.
